half_sat,p_managed,fr_spring,fr_summer,fr_autumn,fr_winter,n_cavity,n_stem,n_ground,p_dep,p_abund,pdep_y_w,y_tot,y_wild
0.01,0.01,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.33,0.186293,0.957723,0.989349,0.316049
0.01,0.01,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.66,0.186293,0.957723,0.978697,0.632097
0.01,0.01,0.66,0.66,0.66,0.66,0.99,0.99,0.99,0.99,0.186293,0.957723,0.968046,0.948146
0.01,0.01,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.01,0.110776,0.924216,0.999342,0.009242
0.01,0.01,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.33,0.110776,0.924216,0.978291,0.304991
0.01,0.01,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.66,0.110776,0.924216,0.956582,0.609982
0.01,0.01,0.99,0.99,0.99,0.99,0.01,0.01,0.01,0.99,0.110776,0.924216,0.934873,0.914973
0.01,0.01,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.01,0.162381,0.950576,0.999606,0.009506
0.01,0.01,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.33,0.162381,0.950576,0.986990,0.313690
0.01,0.01,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.66,0.162381,0.950576,0.973980,0.627380
0.01,0.01,0.99,0.99,0.99,0.99,0.33,0.33,0.33,0.99,0.162381,0.950576,0.960970,0.941070
0.01,0.01,0.99,0.99,0.99,0.99,0.66,0.66,0.66,0.01,0.215598,0.964703,0.999747,0.009647
0.01,0.01,0.99,0.99,0.99,0.99,0.66,0.66,0.66,0.33,0.215598,0.964703,0.991652,0.318352
0.01,0.01,0.99,0.99,0.99,0.99,0.66,0.66,0.66,0.66,0.215598,0.964703,0.983304,0.636704
0.01,0.01,0.99,0.99,0.99,0.99,0.66,0.66,0.66,0.99,0.215598,0.964703,0.974956,0.955056
0.01,0.01,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.01,0.268815,0.973358,0.999834,0.009734
0.01,0.01,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.33,0.268815,0.973358,0.994508,0.321208
0.01,0.01,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.66,0.268815,0.973358,0.989016,0.642416
0.01,0.01,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.268815,0.973358,0.983525,0.963625
0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.002638,0.147437,0.994774,0.001474
0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.002638,0.147437,0.827554,0.048654
0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.66,0.002638,0.147437,0.655108,0.097308
0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.002638,0.147437,0.482662,0.145962
0.01,0.33,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.01,0.003373,0.185562,0.995156,0.001856
0.01,0.33,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.33,0.003373,0.185562,0.840135,0.061235
0.01,0.33,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.66,0.003373,0.185562,0.680271,0.122471
0.01,0.33,0.01,0.01,0.01,0.01,0.33,0.33,0.33,0.99,0.003373,0.185562,0.520406,0.183706
0.01,0.33,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.01,0.004131,0.221253,0.995513,0.002213
0.01,0.33,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.33,0.004131,0.221253,0.851913,0.073013
0.01,0.33,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.66,0.004131,0.221253,0.703827,0.146027
0.01,0.33,0.01,0.01,0.01,0.01,0.66,0.66,0.66,0.99,0.004131,0.221253,0.555740,0.219040
0.01,0.33,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.01,0.004889,0.253780,0.995838,0.002538
0.01,0.33,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.33,0.004889,0.253780,0.862647,0.083747
0.01,0.33,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.66,0.004889,0.253780,0.725295,0.167495
0.01,0.33,0.01,0.01,0.01,0.01,0.99,0.99,0.99,0.99,0.004889,0.253780,0.587942,0.251242
0.01,0.33,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.01,0.046114,0.670000,1.000000,0.006700
0.01,0.33,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.33,0.046114,0.670000,1.000000,0.221100
0.01,0.33,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.66,0.046114,0.670000,1.000000,0.442200
0.01,0.33,0.33,0.33,0.33,0.33,0.01,0.01,0.01,0.99,0.046114,0.670000,1.000000,0.663300
