lucode,nesting_cavity_availability_index,nesting_ground_availability_index,floral_resources_spring_index,floral_resources_summer_index,LU_DESCRIP,comment
110,0.9,0.7,1,0.4,Nature conservation,"dryland lucerne, assuming Eucalypts present"
130,0.6,0.5,0.5,0.3,Other minimal use,"Cereals, canola"
320,0.2,0.2,0.1,0.4,Grazing modified pastures,flood irrigated lucerne
330,0,0.2,0.2,0,Cropping,"Cereals, canola"
420,0.1,0.1,0,0.4,Grazing irrigated modified pastures,
430,0,0.1,0.2,0,Irrigated cropping,
